year,Region,mean
1970,Atlantic Provinces,169.27777777777777
1970,Central Provinces,19119.041666666668
1970,Western Provinces,823.9166666666666
1971,Atlantic Provinces,138
1971,Central Provinces,13407.375
1971,Western Provinces,676.2083333333334
1972,Atlantic Provinces,144.52777777777777
1972,Central Provinces,7552.375
1972,Western Provinces,872.0625
1973,Atlantic Provinces,235.61111111111111
1973,Central Provinces,5675.666666666667
1973,Western Provinces,1029.9166666666667
1974,Atlantic Provinces,285.27777777777777
1974,Central Provinces,6920.083333333333
1974,Western Provinces,1160.9791666666667
1975,Atlantic Provinces,191.25
1975,Central Provinces,10816.833333333334
1975,Western Provinces,816.3125
1976,Atlantic Provinces,151.5
1976,Central Provinces,15843.791666666666
1976,Western Provinces,787.1875
1977,Atlantic Provinces,149.52777777777777
1977,Central Provinces,9867.458333333334
1977,Western Provinces,776.9375
1978,Atlantic Provinces,106.69444444444444
1978,Central Provinces,13315.291666666666
1978,Western Provinces,998.3541666666666
1979,Atlantic Provinces,118.27777777777777
1979,Central Provinces,12887.833333333334
1979,Western Provinces,626.9375
1980,Atlantic Provinces,77.33333333333333
1980,Central Provinces,8877.708333333334
1980,Western Provinces,722.9583333333334
1981,Atlantic Provinces,104.38888888888889
1981,Central Provinces,7147.375
1981,Western Provinces,732.8541666666666
1982,Atlantic Provinces,110.19444444444444
1982,Central Provinces,13165.166666666666
1982,Western Provinces,685.6458333333334
1983,Atlantic Provinces,87.44444444444444
1983,Central Provinces,16441
1983,Western Provinces,807.125
1984,Atlantic Provinces,172.83333333333334
1984,Central Provinces,13761.708333333334
1984,Western Provinces,806.0833333333334
1985,Atlantic Provinces,201.22222222222223
1985,Central Provinces,11368.25
1985,Western Provinces,989.8958333333334
1986,Atlantic Provinces,125.19444444444444
1986,Central Provinces,8563.625
1986,Western Provinces,710.6041666666666
1987,Atlantic Provinces,117.11764705882354
1987,Central Provinces,7158.5
1987,Western Provinces,676.2391304347826
1988,Atlantic Provinces,139.25
1988,Central Provinces,5841.416666666667
1988,Western Provinces,549.0416666666666
1989,Atlantic Provinces,443.1666666666667
1989,Central Provinces,7916.625
1989,Western Provinces,783.2291666666666
1990,Atlantic Provinces,416.75
1990,Central Provinces,7868.25
1990,Western Provinces,1246.2083333333333
1991,Atlantic Provinces,460.5
1991,Central Provinces,7115.5
1991,Western Provinces,1554.3541666666667
1992,Atlantic Provinces,625.6666666666666
1992,Central Provinces,6672.125
1992,Western Provinces,1631.2708333333333
1993,Atlantic Provinces,723.0833333333334
